timestamp,symbol,price
2025-09-15T14:46:40.502862,AAPL,155.1
2025-09-15T14:46:40.514968,AAPL,153.09
2025-09-15T14:46:40.527511,AAPL,152.66
2025-09-15T14:46:40.540054,AAPL,155.9
2025-09-15T14:46:40.552595,AAPL,158.69
2025-09-15T14:46:40.565123,AAPL,153.18
2025-09-15T14:46:40.577659,AAPL,146.12
2025-09-15T14:46:40.590202,AAPL,137.94
2025-09-15T14:46:40.602744,AAPL,137.28
2025-09-15T14:46:40.615248,AAPL,141.92
2025-09-15T14:46:40.627772,AAPL,143.32
2025-09-15T14:46:40.640292,AAPL,145.28
2025-09-15T14:46:40.652814,AAPL,141.01
2025-09-15T14:46:40.665334,AAPL,141.69
2025-09-15T14:46:40.677872,AAPL,145.53
2025-09-15T14:46:40.690421,AAPL,146.44
2025-09-15T14:46:40.702973,AAPL,147.52
2025-09-15T14:46:40.715513,AAPL,148.98
2025-09-15T14:46:40.725979,AAPL,145.11
2025-09-15T14:46:40.738554,AAPL,147.79
2025-09-15T14:46:40.749593,AAPL,151.08
2025-09-15T14:46:40.762135,AAPL,150.32
2025-09-15T14:46:40.774681,AAPL,147.41
2025-09-15T14:46:40.787267,AAPL,150.1
2025-09-15T14:46:40.799862,AAPL,143.62
2025-09-15T14:46:40.812452,AAPL,135.89
2025-09-15T14:46:40.825029,AAPL,132.17
2025-09-15T14:46:40.837587,AAPL,134.35
2025-09-15T14:46:40.848560,AAPL,130.36
2025-09-15T14:46:40.861103,AAPL,126.36
2025-09-15T14:46:40.873662,AAPL,126.26
2025-09-15T14:46:40.886215,AAPL,125.53
2025-09-15T14:46:40.898748,AAPL,129.23
2025-09-15T14:46:40.911267,AAPL,126.22
2025-09-15T14:46:40.923794,AAPL,129.76
2025-09-15T14:46:40.936361,AAPL,127.54
2025-09-15T14:46:40.948947,AAPL,128.45
2025-09-15T14:46:40.961522,AAPL,131.55
2025-09-15T14:46:40.974067,AAPL,128.35
2025-09-15T14:46:40.986629,AAPL,133.78
2025-09-15T14:46:40.999181,AAPL,134.76
2025-09-15T14:46:41.011712,AAPL,134.16
2025-09-15T14:46:41.024241,AAPL,135.27
2025-09-15T14:46:41.036780,AAPL,138.22
2025-09-15T14:46:41.049311,AAPL,136.44
2025-09-15T14:46:41.061843,AAPL,143.8
2025-09-15T14:46:41.074394,AAPL,139.8
2025-09-15T14:46:41.086941,AAPL,144.45
2025-09-15T14:46:41.099469,AAPL,145.35
2025-09-15T14:46:41.111986,AAPL,149.97
2025-09-15T14:46:41.124518,AAPL,145.59
2025-09-15T14:46:41.136040,AAPL,148.88
2025-09-15T14:46:41.148592,AAPL,148.17
2025-09-15T14:46:41.161141,AAPL,150.82
2025-09-15T14:46:41.173695,AAPL,156.77
2025-09-15T14:46:41.186242,AAPL,157.9
2025-09-15T14:46:41.198797,AAPL,150.14
2025-09-15T14:46:41.210028,AAPL,146.51
2025-09-15T14:46:41.222636,AAPL,148.37
2025-09-15T14:46:41.235218,AAPL,147.78
2025-09-15T14:46:41.247816,AAPL,147.2
2025-09-15T14:46:41.257952,AAPL,150.0
2025-09-15T14:46:41.270502,AAPL,149.83
2025-09-15T14:46:41.281898,AAPL,151.16
2025-09-15T14:46:41.294590,AAPL,151.69
2025-09-15T14:46:41.307417,AAPL,149.34
2025-09-15T14:46:41.317637,AAPL,150.34
2025-09-15T14:46:41.329471,AAPL,150.45
2025-09-15T14:46:41.342066,AAPL,151.19
